shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.DMDID,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID
47,47,2025/03/21 16:17:35,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,2.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
48,48,2025/03/21 16:17:53,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,3.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
49,49,2025/03/21 16:18:11,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,4.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
50,50,2025/03/21 16:18:29,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,5.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
51,51,2025/03/21 16:18:48,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,6.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
52,52,2025/03/21 16:19:07,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,7.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
53,53,2025/03/21 16:19:26,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,8.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
54,54,2025/03/21 16:19:44,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,0.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,0.0
55,55,2025/03/21 16:20:03,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,1.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,2.0
56,56,2025/03/21 16:20:21,0.0,0.0,14.0,14.0,28.0,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',7.26,5.0,0.0,773.0,228.2,22.0,93.0,2.0,18.0,0.0,35.0,2.0,163.4945,100.0,0.975,0,0.0,30.0,10.0,200.0,1.0,30.0,12.0,174.746,590.0,1.0
