shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID2,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ScanID4,LocalVariables.DMDID,GlobalLatticeVariables2.Dmd0SecondPatternFilename,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.ShotTypeID,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower
39,39,2025/03/23 20:27:43,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
40,40,2025/03/23 20:28:01,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
41,41,2025/03/23 20:28:19,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
42,42,2025/03/23 20:28:38,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
43,43,2025/03/23 20:28:56,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
44,44,2025/03/23 20:29:14,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,8.0,590.0,174.746
45,45,2025/03/23 20:29:32,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,0.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,0.0,590.0,174.746
46,46,2025/03/23 20:29:50,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,1.0,590.0,174.746
47,47,2025/03/23 20:30:08,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,2.0,590.0,174.746
48,48,2025/03/23 20:30:26,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,3.0,590.0,174.746
49,49,2025/03/23 20:30:44,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,4.0,590.0,174.746
50,50,2025/03/23 20:31:03,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,5.0,590.0,174.746
51,51,2025/03/23 20:31:21,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,1.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,6.0,590.0,174.746
52,52,2025/03/23 20:31:39,0.975,100.0,35.0,30.0,93.0,12.0,163.4945,10.0,100.0,2.0,28.0,10.0,0.0,22.0,200.0,18.0,1.0,30.0,0,14.0,0.0,1.8,14.0,5.0,8.64,0.0,0.0,0.0,b'250316_dmd0_iterative_compensation_pinning.pkl',773.0,228.2,7.0,590.0,174.746
