shot_idx,shot_serial,shot_start_time,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.DMDID2,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,LocalVariables.ScanID4,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ShotTypeID,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power
43,43,2025/03/22 18:45:51,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,7.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
44,44,2025/03/22 18:46:10,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,8.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
45,45,2025/03/22 18:46:29,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,0.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,0.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
46,46,2025/03/22 18:46:48,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,1.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
47,47,2025/03/22 18:47:07,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,2.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
48,48,2025/03/22 18:47:26,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,3.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
49,49,2025/03/22 18:47:45,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,4.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
50,50,2025/03/22 18:48:04,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,5.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
51,51,2025/03/22 18:48:22,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,6.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
52,52,2025/03/22 18:48:41,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,7.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
53,53,2025/03/22 18:49:01,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,8.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
54,54,2025/03/22 18:49:19,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,0.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,0.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
55,55,2025/03/22 18:49:38,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,1.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
56,56,2025/03/22 18:49:57,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,2.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
57,57,2025/03/22 18:50:16,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,3.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,2.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
58,58,2025/03/22 18:50:35,773.0,10.0,93.0,0.0,228.2,0.975,200.0,163.4945,0.0,30.0,18.0,2.0,22.0,5.0,35.0,0.0,590.0,4.0,10.0,1.0,28.0,b'250316_dmd0_iterative_compensation_pinning.pkl',100.0,1.0,7.26,12.0,100.0,0,14.0,174.746,30.0,20.0,0.0,14.0
