shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.ImagingBlowOutID
369,369,2025/06/13 14:15:56,0.0025,0.0
370,370,2025/06/13 14:16:15,0.0025,1.0
371,371,2025/06/13 14:16:33,0.0025,2.0
372,372,2025/06/13 14:16:51,0.0025,1.0
373,373,2025/06/13 14:17:10,0.0025,2.0
374,374,2025/06/13 14:17:28,0.0025,1.0
375,375,2025/06/13 14:17:47,0.0025,2.0
376,376,2025/06/13 14:18:05,0.0025,1.0
377,377,2025/06/13 14:18:23,0.0025,2.0
378,378,2025/06/13 14:18:42,0.0023,0.0
379,379,2025/06/13 14:19:00,0.0023,2.0
380,380,2025/06/13 14:19:19,0.0023,1.0
381,381,2025/06/13 14:19:37,0.0023,2.0
382,382,2025/06/13 14:19:55,0.0023,1.0
383,383,2025/06/13 14:20:14,0.0023,2.0
384,384,2025/06/13 14:20:32,0.0023,1.0
385,385,2025/06/13 14:20:51,0.0023,2.0
386,386,2025/06/13 14:21:09,0.0023,1.0
387,387,2025/06/13 14:21:28,0.0025,0.0
388,388,2025/06/13 14:21:46,0.0025,1.0
389,389,2025/06/13 14:22:04,0.0025,2.0
390,390,2025/06/13 14:22:23,0.0025,1.0
391,391,2025/06/13 14:22:41,0.0025,2.0
392,392,2025/06/13 14:23:00,0.0025,1.0
393,393,2025/06/13 14:23:18,0.0025,2.0
394,394,2025/06/13 14:23:36,0.0025,1.0
395,395,2025/06/13 14:23:55,0.0025,2.0
396,396,2025/06/13 14:24:13,0.0023,0.0
397,397,2025/06/13 14:24:31,0.0023,2.0
398,398,2025/06/13 14:24:50,0.0023,1.0
399,399,2025/06/13 14:25:08,0.0023,2.0
400,400,2025/06/13 14:25:27,0.0023,1.0
401,401,2025/06/13 14:25:45,0.0023,2.0
402,402,2025/06/13 14:26:03,0.0023,1.0
403,403,2025/06/13 14:26:22,0.0023,2.0
404,404,2025/06/13 14:26:40,0.0023,1.0
405,405,2025/06/13 14:26:58,0.0025,0.0
406,406,2025/06/13 14:27:17,0.0025,1.0
407,407,2025/06/13 14:27:35,0.0025,2.0
408,408,2025/06/13 14:27:54,0.0025,1.0
409,409,2025/06/13 14:28:12,0.0025,2.0
410,410,2025/06/13 14:28:30,0.0025,1.0
411,411,2025/06/13 14:28:49,0.0025,2.0
412,412,2025/06/13 14:29:07,0.0025,1.0
413,413,2025/06/13 14:29:26,0.0025,2.0
414,414,2025/06/13 14:29:44,0.0023,0.0
415,415,2025/06/13 14:30:02,0.0023,2.0
416,416,2025/06/13 14:30:21,0.0023,1.0
417,417,2025/06/13 14:30:40,0.0023,2.0
418,418,2025/06/13 14:30:58,0.0023,1.0
419,419,2025/06/13 14:31:16,0.0023,2.0
420,420,2025/06/13 14:31:36,0.0023,1.0
421,421,2025/06/13 14:31:54,0.0023,2.0
422,422,2025/06/13 14:32:12,0.0023,1.0
423,423,2025/06/13 14:32:31,0.0025,0.0
424,424,2025/06/13 14:32:49,0.0025,1.0
425,425,2025/06/13 14:33:08,0.0025,2.0
426,426,2025/06/13 14:33:26,0.0025,1.0
427,427,2025/06/13 14:33:44,0.0025,2.0
428,428,2025/06/13 14:34:03,0.0025,1.0
429,429,2025/06/13 14:34:21,0.0025,2.0
430,430,2025/06/13 14:34:40,0.0025,1.0
431,431,2025/06/13 14:34:58,0.0025,2.0
432,432,2025/06/13 14:35:17,0.0023,0.0
433,433,2025/06/13 14:35:35,0.0023,2.0
434,434,2025/06/13 14:35:53,0.0023,1.0
435,435,2025/06/13 14:36:12,0.0023,2.0
436,436,2025/06/13 14:36:30,0.0023,1.0
437,437,2025/06/13 14:36:49,0.0023,2.0
438,438,2025/06/13 14:37:07,0.0023,1.0
439,439,2025/06/13 14:37:26,0.0023,2.0
440,440,2025/06/13 14:37:44,0.0023,1.0
441,441,2025/06/13 14:38:02,0.0025,0.0
442,442,2025/06/13 14:38:21,0.0025,1.0
443,443,2025/06/13 14:38:39,0.0025,2.0
444,444,2025/06/13 14:38:58,0.0025,1.0
445,445,2025/06/13 14:39:16,0.0025,2.0
446,446,2025/06/13 14:39:34,0.0025,1.0
447,447,2025/06/13 14:39:53,0.0025,2.0
448,448,2025/06/13 14:40:11,0.0025,1.0
449,449,2025/06/13 14:40:30,0.0025,2.0
450,450,2025/06/13 14:40:48,0.0023,0.0
451,451,2025/06/13 14:41:06,0.0023,2.0
452,452,2025/06/13 14:41:25,0.0023,1.0
453,453,2025/06/13 14:41:43,0.0023,2.0
454,454,2025/06/13 14:42:02,0.0023,1.0
455,455,2025/06/13 14:42:20,0.0023,2.0
456,456,2025/06/13 14:42:39,0.0023,1.0
