shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.isUnloadReloadBI,LocalVariables.ScanID4,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.ImagingBlowOutID,LocalVariables.XbarFrequency,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,LocalVariables.DMDID2,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.ThirdDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent
37,37,2025/03/21 19:15:33,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,1.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
38,38,2025/03/21 19:15:52,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,2.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
39,39,2025/03/21 19:16:10,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,3.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
40,40,2025/03/21 19:16:28,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,4.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
41,41,2025/03/21 19:16:47,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,5.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
42,42,2025/03/21 19:17:06,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,6.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
43,43,2025/03/21 19:17:26,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,7.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
44,44,2025/03/21 19:17:45,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,8.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
45,45,2025/03/21 19:18:04,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,0.0,773.0,228.2,14.0,35.0,0.0,0.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
46,46,2025/03/21 19:18:23,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,1.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
47,47,2025/03/21 19:18:42,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,2.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
48,48,2025/03/21 19:19:02,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,3.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
49,49,2025/03/21 19:19:21,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,4.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
50,50,2025/03/21 19:19:41,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,2.0,773.0,228.2,14.0,35.0,0.0,5.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
51,51,2025/03/21 19:20:00,163.4945,0.0,100.0,30.0,5.0,0,0.0,10.0,1.0,773.0,228.2,14.0,35.0,0.0,6.0,0.975,10.0,100.0,b'250316_dmd0_iterative_compensation_pinning.pkl',28.0,7.26,30.0,12.0,18.0,22.0,14.0,200.0,0.0,174.746,1.0,590.0,2.0,0.0,93.0
