shot_idx,shot_serial,shot_start_time,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.XbarFrequency,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,LocalVariables.ImagingBlowOutID,LocalVariables.ScanID4,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.DMDID2,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime
43,43,2025/03/23 19:24:43,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
44,44,2025/03/23 19:25:01,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,8.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
45,45,2025/03/23 19:25:19,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,0.0,0.0,0.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
46,46,2025/03/23 19:25:37,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,1.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
47,47,2025/03/23 19:25:56,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,2.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
48,48,2025/03/23 19:26:14,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,3.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
49,49,2025/03/23 19:26:32,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,4.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
50,50,2025/03/23 19:26:50,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,5.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
51,51,2025/03/23 19:27:08,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,1.0,0.0,6.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
52,52,2025/03/23 19:27:26,22.0,10.0,163.4945,14.0,10.0,1.8,93.0,5.0,14.0,0.0,1.0,b'250316_dmd0_iterative_compensation_pinning.pkl',12.0,773.0,8.64,30.0,100.0,0,174.746,100.0,2.0,0.0,7.0,0.975,35.0,30.0,18.0,200.0,28.0,590.0,228.2,0.0,0.0,0.0
